taskId,type,product,team,startTime,endTime,duration,mechanics,shift,priority,dependencies,isLatePartTask,isReworkTask,isCritical,slackHours,Scenario,MaxLateness,TotalLateness,InstanceBased
Product E_QI_152,Quality Inspection,Product E,Quality Team 1,2025-09-12T08:45:00,2025-09-12T09:30:00,45,2,1st,328,[],False,False,False,371.25,baseline,-7,0,True
Product E_QI_116,Quality Inspection,Product E,Quality Team 1,2025-09-12T09:45:00,2025-09-12T10:30:00,45,2,1st,329,[],False,False,False,265.5,baseline,-7,0,True
Product E_33,Production,Product E,Mechanic Team 2,2025-09-12T14:30:00,2025-09-12T14:50:00,20,1,2nd,330,[],False,False,False,225.75,baseline,-7,0,True
Product E_53,Production,Product E,Mechanic Team 6,2025-09-12T14:30:00,2025-09-12T15:10:00,40,1,2nd,331,[],False,False,False,307.25,baseline,-7,0,True
Product E_51,Production,Product E,Mechanic Team 6,2025-09-12T14:30:00,2025-09-12T15:00:00,30,1,2nd,332,[],False,False,False,328.0,baseline,-7,0,True
Product E_32,Production,Product E,Mechanic Team 4,2025-09-12T23:00:00,2025-09-13T01:00:00,120,3,3rd,333,[],False,False,False,258.25,baseline,-7,0,True
Product E_54,Production,Product E,Mechanic Team 4,2025-09-12T23:00:00,2025-09-13T00:00:00,60,2,3rd,334,[],False,False,False,324.25,baseline,-7,0,True
LP_309,Late Part,Product C,Mechanic Team 1,2025-09-15T06:00:00,2025-09-15T08:00:00,120,2,1st,335,[],True,False,False,215.0,baseline,-7,0,True
Product E_50,Production,Product E,Mechanic Team 3,2025-09-15T06:00:00,2025-09-15T07:00:00,60,2,1st,336,[],False,False,False,221.5,baseline,-7,0,True
Product E_49,Production,Product E,Mechanic Team 5,2025-09-15T06:00:00,2025-09-15T06:20:00,20,1,1st,337,[],False,False,False,227.75,baseline,-7,0,True
Product E_61,Production,Product E,Mechanic Team 1,2025-09-15T06:20:00,2025-09-15T07:00:00,40,1,1st,338,[],False,False,False,264.1666666666667,baseline,-7,0,True
